week,department,sub_department,sku,product,gt_price,gt_regular_price,cost,promo_flag,units,walmart_price,nofrills_price,dollarama_price
2024-11-04,Grocery,Cereal,SKU1001,Corn Flakes,14.16,14.16,9.8,0,149,14.05,13.67,13.18
2024-11-11,Grocery,Cereal,SKU1001,Corn Flakes,13.38,13.38,9.81,0,233,13.86,12.83,12.43
2024-11-18,Grocery,Cereal,SKU1001,Corn Flakes,14.56,14.56,9.81,0,75,14.36,14.6,13.3
2024-11-25,Grocery,Cereal,SKU1001,Corn Flakes,11.04,13.54,9.84,1,487,13.5,14.12,13.81
2024-12-02,Grocery,Cereal,SKU1001,Corn Flakes,13.79,13.79,9.84,0,138,13.44,13.61,12.69
2024-12-09,Grocery,Cereal,SKU1001,Corn Flakes,14.46,14.46,9.86,0,139,14.12,13.77,14.15
2024-12-16,Grocery,Cereal,SKU1001,Corn Flakes,14.61,14.61,9.87,0,166,14.91,14.19,13.52
2024-12-23,Grocery,Cereal,SKU1001,Corn Flakes,14.21,14.21,9.91,0,81,13.37,13.31,13.0
2024-12-30,Grocery,Cereal,SKU1001,Corn Flakes,14.72,14.72,9.9,0,129,14.08,14.27,13.75
2025-01-06,Grocery,Cereal,SKU1001,Corn Flakes,14.64,14.64,9.88,0,195,14.28,14.95,13.64
2025-01-13,Grocery,Cereal,SKU1001,Corn Flakes,14.8,14.8,9.89,0,116,14.88,15.22,14.15
2025-01-20,Grocery,Cereal,SKU1001,Corn Flakes,14.65,14.65,9.88,0,121,13.25,13.6,14.12
2025-01-27,Grocery,Cereal,SKU1001,Corn Flakes,14.62,14.62,9.91,0,38,14.99,14.69,14.4
2025-02-03,Grocery,Cereal,SKU1001,Corn Flakes,15.4,15.4,9.9,0,210,14.91,14.45,14.42
2025-02-10,Grocery,Cereal,SKU1001,Corn Flakes,15.01,15.01,9.92,0,86,14.44,15.44,14.1
2025-02-17,Grocery,Cereal,SKU1001,Corn Flakes,15.1,15.1,9.92,0,92,13.77,14.89,13.63
2025-02-24,Grocery,Cereal,SKU1001,Corn Flakes,15.2,15.2,9.96,0,118,14.75,14.87,14.16
2025-03-03,Grocery,Cereal,SKU1001,Corn Flakes,15.03,15.03,9.93,0,114,14.96,15.9,14.18
2025-03-10,Grocery,Cereal,SKU1001,Corn Flakes,15.19,15.19,9.98,0,66,14.47,14.99,14.42
2025-03-17,Grocery,Cereal,SKU1001,Corn Flakes,15.19,15.19,9.95,0,193,15.16,15.14,13.64
2025-03-24,Grocery,Cereal,SKU1001,Corn Flakes,14.49,14.49,9.97,0,215,15.49,14.95,14.47
2025-03-31,Grocery,Cereal,SKU1001,Corn Flakes,15.7,15.7,9.99,0,189,14.36,14.67,14.4
2025-04-07,Grocery,Cereal,SKU1001,Corn Flakes,15.06,15.06,10.0,0,226,14.16,14.48,14.11
2025-04-14,Grocery,Cereal,SKU1001,Corn Flakes,15.29,15.29,10.01,0,98,15.4,14.69,13.93
2025-04-21,Grocery,Cereal,SKU1001,Corn Flakes,14.97,14.97,10.03,0,45,15.02,14.42,14.51
2025-04-28,Grocery,Cereal,SKU1001,Corn Flakes,12.7,14.91,10.01,1,295,14.6,14.97,14.32
2025-05-05,Grocery,Cereal,SKU1001,Corn Flakes,14.35,14.35,10.03,0,230,15.35,15.92,13.85
2025-05-12,Grocery,Cereal,SKU1001,Corn Flakes,15.82,15.82,10.03,0,63,15.13,14.36,14.6
2025-05-19,Grocery,Cereal,SKU1001,Corn Flakes,14.56,14.56,10.04,0,96,13.82,13.77,13.87
2025-05-26,Grocery,Cereal,SKU1001,Corn Flakes,15.44,15.44,10.02,0,188,14.92,14.53,14.25
2025-06-02,Grocery,Cereal,SKU1001,Corn Flakes,15.12,15.12,10.02,0,156,14.64,14.06,13.35
2025-06-09,Grocery,Cereal,SKU1001,Corn Flakes,15.61,15.61,10.08,0,183,14.01,15.12,14.16
2025-06-16,Grocery,Cereal,SKU1001,Corn Flakes,14.56,14.56,10.11,0,202,14.96,14.33,13.63
2025-06-23,Grocery,Cereal,SKU1001,Corn Flakes,12.6,14.35,10.07,1,224,14.19,14.86,12.73
2025-06-30,Grocery,Cereal,SKU1001,Corn Flakes,14.96,14.96,10.08,0,92,14.25,14.05,13.75
2025-07-07,Grocery,Cereal,SKU1001,Corn Flakes,14.48,14.48,10.08,0,104,14.19,14.65,13.17
2025-07-14,Grocery,Cereal,SKU1001,Corn Flakes,13.51,13.51,10.1,0,87,13.43,13.97,13.78
2025-07-21,Grocery,Cereal,SKU1001,Corn Flakes,12.56,14.01,10.13,1,56,13.24,13.38,13.34
2025-07-28,Grocery,Cereal,SKU1001,Corn Flakes,14.85,14.85,10.1,0,39,13.51,13.38,14.07
2025-08-04,Grocery,Cereal,SKU1001,Corn Flakes,14.03,14.03,10.12,0,185,13.97,13.73,12.81
2025-08-11,Grocery,Cereal,SKU1001,Corn Flakes,14.24,14.24,10.16,0,90,13.44,14.33,13.54
2025-08-18,Grocery,Cereal,SKU1001,Corn Flakes,13.88,13.88,10.19,0,117,13.2,14.14,13.16
2025-08-25,Grocery,Cereal,SKU1001,Corn Flakes,13.98,13.98,10.14,0,32,13.6,13.82,12.59
2025-09-01,Grocery,Cereal,SKU1001,Corn Flakes,13.78,13.78,10.15,0,83,13.87,13.64,13.05
2025-09-08,Grocery,Cereal,SKU1001,Corn Flakes,13.77,13.77,10.2,0,202,13.74,13.83,12.24
2025-09-15,Grocery,Cereal,SKU1001,Corn Flakes,14.14,14.14,10.19,0,226,13.06,13.79,13.11
2025-09-22,Grocery,Cereal,SKU1001,Corn Flakes,13.64,13.64,10.21,0,128,13.42,13.4,13.06
2025-09-29,Grocery,Cereal,SKU1001,Corn Flakes,13.5,13.5,10.17,0,221,13.07,13.49,13.59
2025-10-06,Grocery,Cereal,SKU1001,Corn Flakes,14.21,14.21,10.21,0,222,14.0,12.53,13.11
2025-10-13,Grocery,Cereal,SKU1001,Corn Flakes,14.31,14.31,10.26,0,213,14.1,14.41,12.82
2025-10-20,Grocery,Cereal,SKU1001,Corn Flakes,14.05,14.05,10.23,0,78,14.82,13.99,12.66
2025-10-27,Grocery,Cereal,SKU1001,Corn Flakes,13.28,13.28,10.22,0,68,13.54,13.82,13.16
2025-11-03,Grocery,Cereal,SKU1001,Corn Flakes,13.96,13.96,10.25,0,46,13.5,14.29,12.67
2025-11-10,Grocery,Cereal,SKU1001,Corn Flakes,14.2,14.2,10.26,0,232,13.94,13.25,12.52
2025-11-17,Grocery,Cereal,SKU1001,Corn Flakes,14.38,14.38,10.26,0,60,13.54,13.66,12.97
2025-11-24,Grocery,Cereal,SKU1001,Corn Flakes,14.05,14.05,10.26,0,179,13.62,13.82,13.3
2025-12-01,Grocery,Cereal,SKU1001,Corn Flakes,14.51,14.51,10.32,0,189,13.94,13.96,13.15
2025-12-08,Grocery,Cereal,SKU1001,Corn Flakes,14.22,14.22,10.31,0,230,13.33,13.61,13.39
2025-12-15,Grocery,Cereal,SKU1001,Corn Flakes,14.1,14.1,10.3,0,203,14.13,14.63,12.54
2025-12-22,Grocery,Cereal,SKU1001,Corn Flakes,14.4,14.4,10.32,0,157,14.02,14.41,13.41
2024-01-01,Grocery,Cereal,SKU1002,Oat O's,5.07,5.07,3.42,0,125,5.02,5.06,4.71
2024-01-08,Grocery,Cereal,SKU1002,Oat O's,4.82,4.82,3.42,0,93,4.45,5.0,4.15
2024-01-15,Grocery,Cereal,SKU1002,Oat O's,5.1,5.1,3.42,0,139,4.89,5.35,4.76
2024-01-22,Grocery,Cereal,SKU1002,Oat O's,5.1,5.1,3.42,0,160,4.7,4.92,4.59
2024-01-29,Grocery,Cereal,SKU1002,Oat O's,5.19,5.19,3.43,0,229,4.97,5.02,5.1
2024-02-05,Grocery,Cereal,SKU1002,Oat O's,4.97,4.97,3.42,0,177,5.12,5.12,4.9
2024-02-12,Grocery,Cereal,SKU1002,Oat O's,5.31,5.31,3.43,0,232,5.45,5.42,4.94
2024-02-19,Grocery,Cereal,SKU1002,Oat O's,5.25,5.25,3.44,0,186,5.03,5.13,5.03
2024-02-26,Grocery,Cereal,SKU1002,Oat O's,4.99,4.99,3.43,0,63,4.86,5.33,4.77
2024-03-04,Grocery,Cereal,SKU1002,Oat O's,5.25,5.25,3.42,0,251,5.2,5.21,4.94
2024-03-11,Grocery,Cereal,SKU1002,Oat O's,5.27,5.27,3.45,0,140,5.14,5.36,5.12
2024-03-18,Grocery,Cereal,SKU1002,Oat O's,5.18,5.18,3.45,0,169,5.09,5.36,5.08
2024-03-25,Grocery,Cereal,SKU1002,Oat O's,5.32,5.32,3.45,0,196,5.08,5.3,4.8
2024-04-01,Grocery,Cereal,SKU1002,Oat O's,5.3,5.3,3.45,0,95,5.41,5.26,5.04
2024-04-08,Grocery,Cereal,SKU1002,Oat O's,5.3,5.3,3.45,0,175,5.05,5.2,4.77
2024-04-15,Grocery,Cereal,SKU1002,Oat O's,5.42,5.42,3.45,0,205,4.93,5.09,5.0
2024-04-22,Grocery,Cereal,SKU1002,Oat O's,5.24,5.24,3.45,0,75,5.25,5.24,4.99
2024-04-29,Grocery,Cereal,SKU1002,Oat O's,5.18,5.18,3.46,0,64,5.15,5.32,4.96
2024-05-06,Grocery,Cereal,SKU1002,Oat O's,5.21,5.21,3.46,0,231,5.24,5.27,4.94
2024-05-13,Grocery,Cereal,SKU1002,Oat O's,5.13,5.13,3.47,0,80,5.26,5.24,5.08
2024-05-20,Grocery,Cereal,SKU1002,Oat O's,4.49,5.31,3.47,1,75,5.1,5.26,4.79
2024-05-27,Grocery,Cereal,SKU1002,Oat O's,5.01,5.01,3.47,0,56,4.99,5.01,4.48
2024-06-03,Grocery,Cereal,SKU1002,Oat O's,5.09,5.09,3.46,0,78,5.0,5.05,4.77
2024-06-10,Grocery,Cereal,SKU1002,Oat O's,5.16,5.16,3.48,0,220,5.06,5.08,4.7
2024-06-17,Grocery,Cereal,SKU1002,Oat O's,5.2,5.2,3.48,0,88,5.06,5.02,4.75
2024-06-24,Grocery,Cereal,SKU1002,Oat O's,5.37,5.37,3.49,0,46,4.78,4.91,4.68
2024-07-01,Grocery,Cereal,SKU1002,Oat O's,4.88,4.88,3.49,0,99,4.92,4.84,4.72
2024-07-08,Grocery,Cereal,SKU1002,Oat O's,5.05,5.05,3.49,0,160,5.08,4.88,4.84
2024-07-15,Grocery,Cereal,SKU1002,Oat O's,4.96,4.96,3.51,0,85,5.01,4.98,4.55
2024-07-22,Grocery,Cereal,SKU1002,Oat O's,5.06,5.06,3.5,0,98,4.75,4.77,4.64
2024-07-29,Grocery,Cereal,SKU1002,Oat O's,4.97,4.97,3.5,0,55,5.27,5.02,4.86
2024-08-05,Grocery,Cereal,SKU1002,Oat O's,4.97,4.97,3.51,0,212,4.54,4.75,4.88
2024-08-12,Grocery,Cereal,SKU1002,Oat O's,4.94,4.94,3.5,0,144,4.9,4.75,4.68
2024-08-19,Grocery,Cereal,SKU1002,Oat O's,4.79,4.79,3.52,0,67,4.71,4.79,4.39
2024-08-26,Grocery,Cereal,SKU1002,Oat O's,4.82,4.82,3.5,0,118,4.96,4.69,4.68
2024-09-02,Grocery,Cereal,SKU1002,Oat O's,4.75,4.75,3.52,0,107,4.94,4.65,4.57
2024-09-09,Grocery,Cereal,SKU1002,Oat O's,4.8,4.8,3.52,0,249,4.89,4.81,4.67
2024-09-16,Grocery,Cereal,SKU1002,Oat O's,4.75,4.75,3.52,0,35,4.78,4.96,4.71
2024-09-23,Grocery,Cereal,SKU1002,Oat O's,4.58,4.58,3.53,0,46,4.74,4.71,4.67
2024-09-30,Grocery,Cereal,SKU1002,Oat O's,4.8,4.8,3.53,0,150,4.69,5.03,4.62
2024-10-07,Grocery,Cereal,SKU1002,Oat O's,4.73,4.73,3.52,0,207,4.5,4.68,4.37
2024-10-14,Grocery,Cereal,SKU1002,Oat O's,4.53,4.53,3.53,0,237,4.34,4.6,4.69
2024-10-21,Grocery,Cereal,SKU1002,Oat O's,4.82,4.82,3.55,0,78,4.77,5.0,4.47
2024-10-28,Grocery,Cereal,SKU1002,Oat O's,4.83,4.83,3.54,0,74,4.48,4.79,4.65
2024-11-04,Grocery,Cereal,SKU1002,Oat O's,4.02,4.97,3.57,1,278,4.82,4.78,4.56
2024-11-11,Grocery,Cereal,SKU1002,Oat O's,4.05,5.06,3.56,1,319,4.8,4.71,4.4
2024-11-18,Grocery,Cereal,SKU1002,Oat O's,5.01,5.01,3.55,0,155,4.67,4.97,4.95
2024-11-25,Grocery,Cereal,SKU1002,Oat O's,4.84,4.84,3.55,0,65,4.92,4.58,4.71
2024-12-02,Grocery,Cereal,SKU1002,Oat O's,4.81,4.81,3.56,0,162,4.64,5.04,4.73
2024-12-09,Grocery,Cereal,SKU1002,Oat O's,5.01,5.01,3.55,0,107,5.17,5.18,4.31
2024-12-16,Grocery,Cereal,SKU1002,Oat O's,4.49,5.02,3.55,1,327,4.83,4.7,4.49
2024-12-23,Grocery,Cereal,SKU1002,Oat O's,4.98,4.98,3.56,0,82,5.0,4.75,4.89
2024-12-30,Grocery,Cereal,SKU1002,Oat O's,5.09,5.09,3.56,0,234,5.13,5.08,4.91
2025-01-06,Grocery,Cereal,SKU1002,Oat O's,4.96,4.96,3.57,0,76,5.19,5.06,4.81
2025-01-13,Grocery,Cereal,SKU1002,Oat O's,5.2,5.2,3.58,0,69,4.89,5.2,4.96
2025-01-20,Grocery,Cereal,SKU1002,Oat O's,4.82,4.82,3.59,0,118,5.05,5.06,4.75
2025-01-27,Grocery,Cereal,SKU1002,Oat O's,5.41,5.41,3.58,0,118,5.29,5.09,4.9
2025-02-03,Grocery,Cereal,SKU1002,Oat O's,5.22,5.22,3.59,0,119,5.11,5.12,5.15
2025-02-10,Grocery,Cereal,SKU1002,Oat O's,5.33,5.33,3.58,0,121,5.01,5.04,4.99
2025-02-17,Grocery,Cereal,SKU1002,Oat O's,5.02,5.02,3.59,0,75,5.17,5.38,4.94
2025-02-24,Grocery,Cereal,SKU1002,Oat O's,5.19,5.19,3.6,0,74,5.34,5.2,4.95
2025-03-03,Grocery,Cereal,SKU1002,Oat O's,5.25,5.25,3.59,0,53,5.2,5.23,4.84
2025-03-10,Grocery,Cereal,SKU1002,Oat O's,5.23,5.23,3.61,0,75,5.0,5.35,4.78
2025-03-17,Grocery,Cereal,SKU1002,Oat O's,5.28,5.28,3.61,0,98,4.83,5.21,5.27
2025-03-24,Grocery,Cereal,SKU1002,Oat O's,5.23,5.23,3.6,0,192,5.19,5.1,5.16
2025-03-31,Grocery,Cereal,SKU1002,Oat O's,5.25,5.25,3.62,0,131,5.1,5.39,5.14
2025-04-07,Grocery,Cereal,SKU1002,Oat O's,5.36,5.36,3.61,0,247,4.99,5.55,4.82
2025-04-14,Grocery,Cereal,SKU1002,Oat O's,5.26,5.26,3.61,0,93,5.22,5.22,5.19
2025-04-21,Grocery,Cereal,SKU1002,Oat O's,5.14,5.14,3.62,0,84,5.07,5.14,4.91
2025-04-28,Grocery,Cereal,SKU1002,Oat O's,5.16,5.16,3.62,0,230,5.11,5.25,4.83
2025-05-05,Grocery,Cereal,SKU1002,Oat O's,5.29,5.29,3.62,0,69,4.9,5.21,4.91
2025-05-12,Grocery,Cereal,SKU1002,Oat O's,5.2,5.2,3.62,0,131,4.76,5.22,5.09
2025-05-19,Grocery,Cereal,SKU1002,Oat O's,5.08,5.08,3.63,0,218,5.27,5.02,4.84
2025-05-26,Grocery,Cereal,SKU1002,Oat O's,5.09,5.09,3.64,0,131,5.15,5.19,5.13
2025-06-02,Grocery,Cereal,SKU1002,Oat O's,5.2,5.2,3.64,0,92,5.33,5.25,4.94
2025-06-09,Grocery,Cereal,SKU1002,Oat O's,5.02,5.02,3.64,0,81,5.0,5.24,5.35
2025-06-16,Grocery,Cereal,SKU1002,Oat O's,4.8,4.8,3.65,0,227,5.11,5.01,4.9
2025-06-23,Grocery,Cereal,SKU1002,Oat O's,5.15,5.15,3.65,0,223,4.96,4.99,4.78
2025-06-30,Grocery,Cereal,SKU1002,Oat O's,4.83,4.83,3.65,0,160,4.96,4.57,4.78
2025-07-07,Grocery,Cereal,SKU1002,Oat O's,4.9,4.9,3.64,0,242,4.77,5.08,4.72
2025-07-14,Grocery,Cereal,SKU1002,Oat O's,4.92,4.92,3.67,0,58,4.85,5.23,4.47
2025-07-21,Grocery,Cereal,SKU1002,Oat O's,4.72,4.72,3.66,0,198,4.81,4.72,4.57
2025-07-28,Grocery,Cereal,SKU1002,Oat O's,4.75,4.75,3.66,0,128,4.86,4.75,4.57
2025-08-04,Grocery,Cereal,SKU1002,Oat O's,3.98,5.02,3.67,1,400,4.75,4.92,4.61
2025-08-11,Grocery,Cereal,SKU1002,Oat O's,5.04,5.04,3.67,0,243,4.54,4.82,4.46
2025-08-18,Grocery,Cereal,SKU1002,Oat O's,4.79,4.79,3.68,0,251,4.4,4.82,4.82
2025-08-25,Grocery,Cereal,SKU1002,Oat O's,4.87,4.87,3.67,0,67,4.85,4.79,4.42
2025-09-01,Grocery,Cereal,SKU1002,Oat O's,4.99,4.99,3.67,0,171,4.58,4.74,4.87
2025-09-08,Grocery,Cereal,SKU1002,Oat O's,4.65,4.65,3.69,0,128,4.68,4.74,4.47
2025-09-15,Grocery,Cereal,SKU1002,Oat O's,4.83,4.83,3.69,0,193,4.7,4.68,4.71
2025-09-22,Grocery,Cereal,SKU1002,Oat O's,4.73,4.73,3.68,0,103,4.62,4.87,4.39
2025-09-29,Grocery,Cereal,SKU1002,Oat O's,4.67,4.67,3.69,0,55,5.01,4.59,4.51
2025-10-06,Grocery,Cereal,SKU1002,Oat O's,5.05,5.05,3.69,0,156,4.51,4.86,4.36
2025-10-13,Grocery,Cereal,SKU1002,Oat O's,4.66,4.66,3.69,0,181,4.94,4.9,4.54
2025-10-20,Grocery,Cereal,SKU1002,Oat O's,4.92,4.92,3.69,0,67,4.35,4.61,4.61
2025-10-27,Grocery,Cereal,SKU1002,Oat O's,3.79,4.61,3.7,1,367,4.69,4.78,4.45
2025-11-03,Grocery,Cereal,SKU1002,Oat O's,4.85,4.85,3.71,0,155,4.81,4.75,4.49
2025-11-10,Grocery,Cereal,SKU1002,Oat O's,4.91,4.91,3.71,0,276,4.52,4.57,4.65
2025-11-17,Grocery,Cereal,SKU1002,Oat O's,4.99,4.99,3.71,0,97,4.73,4.51,4.69
2025-11-24,Grocery,Cereal,SKU1002,Oat O's,5.0,5.0,3.72,0,157,4.77,4.91,4.81
2025-12-01,Grocery,Cereal,SKU1002,Oat O's,4.88,4.88,3.72,0,220,4.8,5.11,4.51
2025-12-08,Grocery,Cereal,SKU1002,Oat O's,4.94,4.94,3.72,0,82,4.79,4.67,4.53
2025-12-15,Grocery,Cereal,SKU1002,Oat O's,4.91,4.91,3.73,0,115,4.67,4.8,4.73
2025-12-22,Grocery,Cereal,SKU1002,Oat O's,5.14,5.14,3.73,0,85,5.02,5.05,4.74
2024-01-01,Grocery,Cereal,SKU1003,Choco Crunch,11.44,13.3,9.44,1,81,13.77,14.35,13.51
2024-01-08,Grocery,Cereal,SKU1003,Choco Crunch,14.08,14.08,9.44,0,141,13.2,13.87,12.44
2024-01-15,Grocery,Cereal,SKU1003,Choco Crunch,13.48,13.48,9.45,0,88,13.09,12.83,12.97
2024-01-22,Grocery,Cereal,SKU1003,Choco Crunch,13.7,13.7,9.48,0,240,13.64,13.05,12.86
2024-01-29,Grocery,Cereal,SKU1003,Choco Crunch,13.62,13.62,9.48,0,156,12.31,14.14,11.7
2024-02-05,Grocery,Cereal,SKU1003,Choco Crunch,13.91,13.91,9.47,0,106,13.14,14.59,13.37
2024-02-12,Grocery,Cereal,SKU1003,Choco Crunch,13.66,13.66,9.5,0,208,13.59,13.54,13.74
2024-02-19,Grocery,Cereal,SKU1003,Choco Crunch,13.68,13.68,9.47,0,175,13.47,14.2,12.92
2024-02-26,Grocery,Cereal,SKU1003,Choco Crunch,13.59,13.59,9.52,0,233,14.66,13.98,13.35
2024-03-04,Grocery,Cereal,SKU1003,Choco Crunch,14.24,14.24,9.52,0,158,14.01,14.02,13.63
2024-03-11,Grocery,Cereal,SKU1003,Choco Crunch,14.25,14.25,9.53,0,161,13.99,13.99,13.8
2024-03-18,Grocery,Cereal,SKU1003,Choco Crunch,14.56,14.56,9.53,0,115,13.31,14.37,14.24
2024-03-25,Grocery,Cereal,SKU1003,Choco Crunch,14.19,14.19,9.56,0,203,14.01,14.36,13.22
2024-04-01,Grocery,Cereal,SKU1003,Choco Crunch,14.39,14.39,9.6,0,46,14.17,14.44,13.68
2024-04-08,Grocery,Cereal,SKU1003,Choco Crunch,14.38,14.38,9.59,0,105,14.23,13.66,14.03
2024-04-15,Grocery,Cereal,SKU1003,Choco Crunch,14.29,14.29,9.56,0,147,14.24,14.1,14.07
2024-04-22,Grocery,Cereal,SKU1003,Choco Crunch,13.99,13.99,9.59,0,216,13.75,14.29,13.48
2024-04-29,Grocery,Cereal,SKU1003,Choco Crunch,14.21,14.21,9.61,0,169,14.6,13.97,13.75
2024-05-06,Grocery,Cereal,SKU1003,Choco Crunch,14.76,14.76,9.57,0,213,14.06,14.47,13.65
2024-05-13,Grocery,Cereal,SKU1003,Choco Crunch,14.0,14.0,9.66,0,179,14.11,13.73,13.82
2024-05-20,Grocery,Cereal,SKU1003,Choco Crunch,13.7,13.7,9.65,0,71,13.52,13.11,12.91
2024-05-27,Grocery,Cereal,SKU1003,Choco Crunch,14.25,14.25,9.62,0,55,13.74,14.37,13.24
2024-06-03,Grocery,Cereal,SKU1003,Choco Crunch,14.19,14.19,9.62,0,47,13.92,13.49,13.31
2024-06-10,Grocery,Cereal,SKU1003,Choco Crunch,14.12,14.12,9.63,0,223,13.93,14.44,13.63
2024-06-17,Grocery,Cereal,SKU1003,Choco Crunch,13.87,13.87,9.64,0,65,13.44,13.86,12.88
2024-06-24,Grocery,Cereal,SKU1003,Choco Crunch,13.55,13.55,9.69,0,186,12.65,13.2,13.12
2024-07-01,Grocery,Cereal,SKU1003,Choco Crunch,13.94,13.94,9.66,0,211,13.77,13.95,13.43
2024-07-08,Grocery,Cereal,SKU1003,Choco Crunch,13.18,13.18,9.68,0,70,13.43,13.48,12.61
2024-07-15,Grocery,Cereal,SKU1003,Choco Crunch,14.15,14.15,9.69,0,180,13.42,13.82,12.75
2024-07-22,Grocery,Cereal,SKU1003,Choco Crunch,13.44,13.44,9.75,0,173,13.54,13.46,13.17
